seed,requests,files,capacity_mib,zipf_eta,algorithm,hit_count,hit_rate_pct,byte_hit_rate_pct,total_utility,warmup_miss_rate_pct,final_miss_rate_pct
42,5000,50,10000.00,1.000,FIFO,3037,60.7400,58.4969,154.102891,42.6000,42.0000
42,5000,50,10000.00,1.000,LRU,3315,66.3000,63.7778,167.096274,37.6000,36.0000
42,5000,50,10000.00,1.000,LFU,3705,74.1000,70.4381,188.327908,29.0000,28.2000
42,5000,50,10000.00,1.000,SIEVE,3541,70.8200,68.9443,178.379666,29.4000,31.2000
42,5000,50,10000.00,1.000,CTD,1830,36.6000,34.7050,94.165830,64.4000,63.2000
42,5000,50,10000.00,1.000,SMDP-DDQL,2670,53.4000,50.1954,158.396598,47.4000,47.2000
